[SYS] 2026/09/05 - 11:47:05 | initializing token encoders 
[SYS] 2026/09/05 - 11:47:05 | token encoders initialized 
[SYS] 2026/09/05 - 11:47:05 | using PostgreSQL as database 
[SYS] 2026/09/05 - 11:47:05 | database migration started 
[SYS] 2026/09/05 - 11:47:07 | system is not initialized and no root user exists 
[SYS] 2026/09/05 - 11:47:07 | SYNC_FREQUENCY not set, use default value 60 
[SYS] 2026/09/05 - 11:47:07 | Redis is enabled 
[SYS] 2026/09/05 - 11:47:07 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/09/05 - 11:47:07 | Loaded 0 custom OAuth providers 
[SYS] 2026/09/05 - 11:47:07 | KDex API  started 
[SYS] 2026/09/05 - 11:47:07 | memory cache enabled 
[SYS] 2026/09/05 - 11:47:07 | sync frequency: 60 seconds 
[SYS] 2026/09/05 - 11:47:07 | channels synced from database 
[SYS] 2026/09/05 - 11:47:07 | 正在更新数据看板数据... 
[SYS] 2026/09/05 - 11:47:07 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | subscription quota reset task started: tick=1m0s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/09/05 - 11:47:07 | batch update enabled with interval 5s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | system task runner started: runner=kdex-api-node-1-98rFlXy9 idle_interval=15s 

  [33mWarning: Refresh cookie is not secure and refresh/logout Origin validation is disabled. Please set SESSION_COOKIE_SECURE=true in production.[0m


  [32mKDex API [0m  ready in 2481 ms

  ➜  [1mNetwork:[0m http://172.19.0.4:3000/

[GIN] 2026/09/05 - 11:48:20 | api | 202609050348207708117908268d9d6X7Qftciy | 401 |     534.558µs |   192.168.10.11 |    POST /api/user/auth/refresh
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348208121398738268d9d6gHNTr4QA | 200 |     987.772µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348208175124648268d9d62Mq6oZCq | 200 |     468.523µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277867284678268d9d6z6OGGcaf | 200 |     420.547µs |   192.168.10.11 |     GET /sign-in
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277955263748268d9d6IJ6tZ3WJ | 200 |   13.934135ms |   192.168.10.11 |     GET /static/css/4590.10e003a7e2.css
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277953491888268d9d6uFDjjJyD | 200 |   20.315191ms |   192.168.10.11 |     GET /static/js/vendor-tanstack.74c48f25c5.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277982873738268d9d6SCxAFPJJ | 200 |   31.434708ms |   192.168.10.11 |     GET /static/css/index.072e9367ba.css
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277950068548268d9d6GFXIDbT9 | 200 |     36.8385ms |   192.168.10.11 |     GET /static/js/vendor-ui-primitives.b17b3046c5.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277982850648268d9d61RkcAZSb | 200 |   39.345623ms |   192.168.10.11 |     GET /static/js/lib-react.064bab1680.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348278040580378268d9d6pjEAkrS7 | 200 |   46.603681ms |   192.168.10.11 |     GET /static/js/4590.3ae4c7729c.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348278162624338268d9d60nGhVAdt | 200 |   126.60318ms |   192.168.10.11 |     GET /static/js/index.99ed7f6080.js
[GIN] 2026/09/05 - 11:48:27 | api | 202609050348279945817248268d9d6ufUFwtsh | 200 |     547.398µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:27 | api | 202609050348279980601328268d9d6RgwMUd7C | 401 |     492.012µs |   192.168.10.11 |    POST /api/user/auth/refresh
[GIN] 2026/09/05 - 11:48:28 | api | 202609050348280007215068268d9d6KnaEQlQx | 200 |     2.23022ms |   192.168.10.11 |     GET /api/setup?t=1788512100232
[GIN] 2026/09/05 - 11:48:28 | api | 202609050348280075837888268d9d6zR4nNfaA | 200 |    1.025209ms |   192.168.10.11 |     GET /api/setup?t=1788512100240
[GIN] 2026/09/05 - 11:48:28 | web | 202609050348280154499618268d9d6GLLw2ybe | 200 |     966.035µs |   192.168.10.11 |     GET /logo.png
[GIN] 2026/09/05 - 11:48:28 | api | 202609050348280395604068268d9d6wRaAdEu6 | 200 |      511.62µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:28 | api | 202609050348280418654838268d9d6HfEAvWkR | 200 |     824.626µs |   192.168.10.11 |     GET /api/setup?t=1788512100272
[GIN] 2026/09/05 - 11:48:35 | api | 202609050348358144461538268d9d69jrX0OjA | 200 |     408.151µs |             ::1 |     GET /api/status
[GIN] 2026/09/05 - 11:48:42 | api | 202609050348427757467388268d9d6WFGKTmKV | 200 |   67.362646ms |   192.168.10.11 |    POST /api/setup
[GIN] 2026/09/05 - 11:48:42 | api | 202609050348428467835048268d9d6yBbFkmCj | 200 |     345.294µs |   192.168.10.11 |     GET /api/setup?t=1788512115080
[GIN] 2026/09/05 - 11:48:42 | api | 202609050348428582918428268d9d69LFinemg | 200 |     436.213µs |   192.168.10.11 |     GET /api/setup?t=1788512115091
[GIN] 2026/09/05 - 11:48:42 | web | 202609050348428665135268268d9d6NRf20xZg | 200 |    2.399581ms |   192.168.10.11 |     GET /static/js/async/5712.43f33ba78e.js
[GIN] 2026/09/05 - 11:48:42 | web | 202609050348428647045028268d9d6q34vPZSV | 200 |    8.265781ms |   192.168.10.11 |     GET /static/js/async/1402.df177f4e48.js
[GIN] 2026/09/05 - 11:48:42 | api | 202609050348428992092438268d9d6hGVQmBde | 200 |     340.184µs |   192.168.10.11 |     GET /api/notice
[GIN] 2026/09/05 - 11:48:42 | api | 202609050348428993206408268d9d64jt9AcIA | 200 |     467.185µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:42 | api | 202609050348429001919858268d9d6KpORVweX | 200 |     448.936µs |   192.168.10.11 |     GET /api/home_page_content
[GIN] 2026/09/05 - 11:48:43 | api | 202609050348438127741928268d9d6MqhgObhW | 200 |      522.84µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:49 | api | 202609050348495776451868268d9d6FpCUY5TD | 200 |     460.905µs |    192.168.10.1 |     GET /api/home_page_content
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348519880456428268d9d6yKvtc4hE | 200 |   69.845921ms |    192.168.10.1 |    POST /api/user/login?turnstile=
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348521219436858268d9d6GMJuXkZ0 | 200 |     661.511µs |    192.168.10.1 |     GET /api/status
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348522414466598268d9d6TXS80LSL | 200 |     388.542µs |    192.168.10.1 |     GET /api/notice
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348522459316268268d9d6dGbdxlSO | 200 |    3.121811ms |    192.168.10.1 |     GET /api/data/self?start_timestamp=1788497332&end_timestamp=1788583732&default_time=hour
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348522487024488268d9d6FurtnKFD | 200 |    1.405497ms |    192.168.10.1 |     GET /api/uptime/status
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348522477513728268d9d6e5uGcby0 | 200 |    4.641325ms |    192.168.10.1 |     GET /api/perf-metrics/summary?hours=24
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348522508490708268d9d6i0iARNUF | 200 |    2.847527ms |    192.168.10.1 |     GET /api/user/models
[GIN] 2026/09/05 - 11:48:52 | api | 202609050348522512070548268d9d6zMQcqInT | 200 |    3.317377ms |    192.168.10.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/09/05 - 11:48:53 | web | 202609050348531950542538268d9d6T2qBwv3v | 200 |    5.345769ms |    192.168.10.1 |     GET /static/js/async/1188.b2cace160b.js
[GIN] 2026/09/05 - 11:48:54 | web | 202609050348540067873558268d9d6AwPpSnSO | 200 |    1.473592ms |    192.168.10.1 |     GET /static/js/async/7020.1f765db4c5.js
[GIN] 2026/09/05 - 11:48:54 | api | 202609050348544560068328268d9d6RN99hB1I | 200 |    1.403912ms |    192.168.10.1 |     GET /api/system-task/list?limit=20
[GIN] 2026/09/05 - 11:48:54 | api | 202609050348544557049198268d9d6Mi37P9fS | 200 |    2.641527ms |    192.168.10.1 |     GET /api/system-info/instances
[GIN] 2026/09/05 - 11:49:05 | api | 202609050349059331509498268d9d6GqHWlQYK | 200 |     353.854µs |             ::1 |     GET /api/status
[SYS] 2026/09/05 - 11:49:08 | syncing options from database 
[SYS] 2026/09/05 - 11:49:08 | syncing channels from database 
[SYS] 2026/09/05 - 11:49:08 | channels synced from database 
[GIN] 2026/09/05 - 11:49:24 | api | 202609050349244839548638268d9d6daN9g8zh | 200 |    1.821627ms |    192.168.10.1 |     GET /api/system-info/instances
[GIN] 2026/09/05 - 11:49:29 | api | 202609050349293935876948268d9d6adnpY8rD | 200 |    2.029104ms |    192.168.10.1 |     GET /api/subscription/admin/plans
[GIN] 2026/09/05 - 11:49:29 | api | 202609050349293940058188268d9d6YH7bwpOk | 200 |    2.688799ms |    192.168.10.1 |     GET /api/option/
[GIN] 2026/09/05 - 11:49:33 | api | 202609050349331429009518268d9d6WLmTiChI | 200 |    3.064098ms |    192.168.10.1 |     GET /api/redemption/?p=1&page_size=20
[GIN] 2026/09/05 - 11:49:34 | api | 202609050349344791598708268d9d6wnJuXb8V | 200 |    1.106095ms |    192.168.10.1 |     GET /api/group/
[GIN] 2026/09/05 - 11:49:34 | api | 202609050349344790016508268d9d6tmBm3r1y | 200 |    1.786639ms |    192.168.10.1 |     GET /api/authz/catalog
[GIN] 2026/09/05 - 11:49:34 | api | 202609050349344788126338268d9d6h0apEMgT | 200 |    4.958171ms |    192.168.10.1 |     GET /api/user/?p=1&page_size=20
[GIN] 2026/09/05 - 11:49:36 | api | 202609050349360278326728268d9d6JrVgEbPI | 200 |      369.47µs |             ::1 |     GET /api/status
[GIN] 2026/09/05 - 11:49:37 | api | 202609050349374003515368268d9d6WwcnK9ch | 200 |    2.727177ms |    192.168.10.1 |     GET /api/vendors/?page_size=1000
[GIN] 2026/09/05 - 11:49:37 | api | 202609050349374006728448268d9d6QDvQ9Obm | 200 |    2.799562ms |    192.168.10.1 |     GET /api/models/?p=1&page_size=20
[GIN] 2026/09/05 - 11:49:37 | web | 202609050349376931937618268d9d6xQjvreQh | 200 |   12.493087ms |    192.168.10.1 |     GET /static/js/async/3243.c1b5c7d5de.js
[GIN] 2026/09/05 - 11:49:38 | api | 202609050349382196458788268d9d60L5LXsxK | 200 |    1.589289ms |    192.168.10.1 |     GET /api/user/2fa/status
[GIN] 2026/09/05 - 11:49:38 | api | 202609050349382190963628268d9d6DXWxIZL4 | 200 |    2.447106ms |    192.168.10.1 |     GET /api/channel/models
[GIN] 2026/09/05 - 11:49:38 | api | 202609050349382201003088268d9d6Vc2jFCNY | 200 |    1.658559ms |    192.168.10.1 |     GET /api/channel/ops
[GIN] 2026/09/05 - 11:49:38 | api | 202609050349382196173108268d9d6xrzlLzpp | 200 |    3.391963ms |    192.168.10.1 |     GET /api/user/passkey
[GIN] 2026/09/05 - 11:49:38 | api | 202609050349382358025508268d9d66ogcH6kC | 200 |    2.657397ms |    192.168.10.1 |     GET /api/prefill_group/?type=model
[GIN] 2026/09/05 - 11:49:38 | api | 202609050349382353852048268d9d6GQ8hK1Wf | 200 |    4.708064ms |    192.168.10.1 |     GET /api/channel/?tag_mode=false&id_sort=false&p=1&page_size=20
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349395890011258268d9d6M6WXCCRQ | 200 |    1.104561ms |    192.168.10.1 |     GET /api/subscription/plans
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349395923352728268d9d6oq9XTeD1 | 200 |    1.541737ms |    192.168.10.1 |     GET /api/user/topup/info
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349395904310598268d9d6A8bOi598 | 200 |    5.253781ms |    192.168.10.1 |     GET /api/subscription/self
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349395912533498268d9d6yTYNYDE2 | 200 |    5.129578ms |    192.168.10.1 |     GET /api/user/topup?p=1&page_size=10
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349395923480268268d9d6RjQGoFa4 | 200 |     4.10777ms |    192.168.10.1 |     GET /api/user/self
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349395914603858268d9d6D2quHnuu | 200 |    6.834051ms |    192.168.10.1 |     GET /api/user/aff
[GIN] 2026/09/05 - 11:49:39 | api | 202609050349396143196538268d9d6ZUBYHdBU | 200 |    3.037707ms |    192.168.10.1 |    POST /api/user/amount
